#chrom	start	end	size	num_data	min	max	mean	median	sum
chr19	5243911	5244493	582	582	24.00	67.00	36.68	34.00	21350.00
chr6	32119585	32119717	132	132	5.00	217.00	122.82	152.00	16212.00
chr3	42670878	42672067	1189	1189	0.00	8.00	2.48	2.00	2943.00
chr11	45892392	45892485	93	93	42.00	51.00	45.96	46.00	4274.00
chr17	80040789	80040991	202	202	177.00	270.00	229.48	228.00	46355.00
chr2	74902875	74903036	161	161	20.00	32.00	24.42	24.00	3932.00
chr17	38335969	38337946	1977	1977	3.00	96.00	16.25	13.00	32135.00
chr16	87870103	87870253	150	150	58.00	107.00	77.01	70.00	11552.00
chr1	32205947	32206142	195	195	132.00	221.00	165.98	163.00	32367.00
chr6	44117553	44117702	149	149	8.00	192.00	126.62	167.00	18867.00
chr1	159163659	159163830	171	171	251.00	350.00	298.30	291.00	51009.00
chr3	445565	446023	458	458	0.00	7.00	2.24	2.00	1027.00
chr2	25048913	25048995	82	82	61.00	85.00	76.68	79.00	6288.00
chr10	99504485	99504672	187	187	32.00	71.00	47.57	45.00	8896.00
chr4	54364807	54365010	203	203	6.00	21.00	12.32	13.00	2500.00
chr17	1634367	1634552	185	185	3.00	13.00	6.63	6.00	1227.00
chr7	72416124	72416247	123	123	27.00	46.00	37.20	39.00	4576.00
chr1	208212169	208212329	160	160	9.00	23.00	15.94	16.00	2551.00
chr9	140952500	140952702	202	202	5.00	18.00	11.84	12.00	2391.00
chr6	44197325	44197528	203	203	7.00	20.00	13.80	13.00	2801.00
chr6	44197643	44198218	575	575	5.00	23.00	13.59	14.00	7817.00
chr11	118981972	118982084	112	112	66.00	90.00	77.99	79.50	8735.00
chr5	150503846	150503952	106	106	4.00	558.00	374.70	470.50	39718.00
chr11	118981761	118981878	117	117	58.00	106.00	80.45	83.00	9413.00
chr11	126314873	126315000	127	127	13.00	21.00	16.74	17.00	2126.00
chr1	159165808	159166244	436	436	3.00	404.00	76.39	7.00	33308.00
chr7	134893542	134893750	208	208	8.00	23.00	14.76	13.50	3070.00
chr9	121976196	121976433	237	237	80.00	188.00	122.65	130.00	29068.00
chr19	54691042	54691169	127	127	93.00	129.00	108.74	107.00	13810.00
chr22	38621430	38621600	170	170	111.00	146.00	128.72	129.00	21882.00
chr13	42035681	42036205	524	524	0.00	12.00	4.69	3.00	2457.00
chr20	1915360	1915413	53	53	3.00	258.00	194.11	249.00	10288.00
chr5	14496987	14497126	139	139	54.00	111.00	78.11	79.00	10857.00
chr12	56528125	56528212	87	87	11.00	22.00	17.08	17.00	1486.00
chr3	47466974	47467101	127	127	36.00	46.00	41.11	41.00	5221.00
chr17	7415476	7415663	187	187	66.00	95.00	74.97	73.00	14019.00
chr3	33588037	33589252	1215	1215	0.00	14.00	4.92	5.00	5978.00
chr7	887833	888615	782	782	2.00	35.00	13.18	11.00	10305.00
chr10	24813251	24813693	442	442	3.00	18.00	10.52	12.00	4651.00
chr1	109812045	109812213	168	168	180.00	260.00	221.43	220.00	37200.00
chr19	15276597	15276902	305	305	38.00	72.00	58.31	60.00	17785.00
chr16	2334779	2334999	220	220	112.00	178.00	150.36	152.00	33080.00
chr16	68404761	68405261	500	500	32.00	64.00	48.52	49.00	24258.00
chr4	110969111	110969871	760	760	0.00	22.00	7.68	7.00	5840.00
chr1	145693161	145693996	835	835	1.00	13.00	5.98	6.00	4995.00
chr7	44282848	44282932	84	84	623.00	739.00	670.24	667.00	56300.00
chr2	220164315	220164508	193	193	4.00	235.00	89.05	7.00	17187.00
chr12	50472203	50472360	157	157	29.00	48.00	38.75	39.00	6083.00
chr2	220163768	220163833	65	65	266.00	308.00	289.18	291.00	18797.00
chr2	222289928	222290862	934	934	53.00	166.00	84.18	81.00	78626.00
chr12	57599133	57599268	135	135	81.00	129.00	99.30	95.00	13405.00
chr7	157475416	157475629	213	213	79.00	136.00	106.98	109.00	22787.00
chr1	32203800	32203927	127	127	192.00	319.00	256.83	243.00	32618.00
chr1	109811731	109811912	181	181	123.00	183.00	153.35	153.00	27756.00
chr9	140052830	140052975	145	145	237.00	491.00	391.52	434.00	56771.00
chr2	220161706	220161854	148	148	294.00	492.00	367.01	358.50	54318.00
chr16	29896906	29897070	164	164	142.00	229.00	192.29	195.00	31535.00
chr16	47143393	47143622	229	229	9.00	33.00	24.81	26.00	5681.00
chr11	993753	993985	232	232	106.00	170.00	139.13	140.50	32278.00
chr9	124059698	124061137	1439	1439	2.00	38.00	16.19	15.00	23296.00
chr9	140350140	140350634	494	494	12.00	49.00	27.91	26.00	13789.00
chr11	14504577	14504697	120	120	16.00	29.00	21.33	21.50	2560.00
chr3	49898612	49898733	121	121	183.00	289.00	250.63	254.00	30326.00
chr9	131811659	131811777	118	118	16.00	44.00	26.87	24.00	3171.00
chr9	131810705	131810818	113	113	17.00	34.00	26.18	26.00	2958.00
chr1	223400935	223401080	145	145	250.00	309.00	276.23	277.00	40053.00
chr12	125612185	125612820	635	635	0.00	49.00	11.95	7.00	7587.00
chr2	220088590	220088744	154	154	45.00	79.00	65.03	64.00	10014.00
chr9	70888487	70888750	263	263	3.00	45.00	19.62	15.00	5161.00
chr14	69813756	69813898	142	142	74.00	120.00	93.23	93.00	13238.00
chr2	47399145	47399890	745	745	4.00	51.00	16.09	14.00	11989.00
chr11	62688689	62689041	352	352	3.00	38.00	12.52	7.00	4407.00
chr6	43745205	43745407	202	202	1.00	39.00	27.13	26.00	5481.00
chr3	11072492	11072997	505	505	0.00	124.00	29.74	13.00	15020.00
chr7	2696031	2696168	137	137	67.00	83.00	76.22	76.00	10442.00
chr16	14969196	14969279	83	83	109.00	170.00	152.24	157.00	12636.00
chr17	7377847	7378026	179	179	0.00	4.00	1.33	1.00	238.00
chr12	65639640	65639719	79	79	14.00	26.00	20.27	20.00	1601.00
chr12	50294912	50295108	196	196	472.00	608.00	532.55	522.50	104380.00
chr19	42485653	42485788	135	135	1001.00	1373.00	1231.53	1229.00	166257.00
chr10	99509230	99509343	113	113	50.00	94.00	67.37	68.00	7613.00
chr22	38883877	38888120	4243	4243	7.00	330.00	73.91	54.00	313613.00
chr12	49416372	49416658	286	286	41.00	68.00	52.53	50.00	15025.00
chr6	24843089	24843782	693	693	3.00	15.00	8.58	8.00	5946.00
chr5	176295561	176295665	104	104	53.00	70.00	59.81	59.00	6220.00
chr10	99510087	99510227	140	140	56.00	96.00	71.74	72.00	10044.00
chr1	159173658	159174770	1112	1112	4.00	40.00	23.40	25.00	26021.00
chr11	1780745	1780869	124	124	459.00	749.00	621.07	627.00	77013.00
chr19	42486059	42486258	199	199	709.00	1051.00	885.05	912.00	176125.00
chr3	47465422	47465535	113	113	44.00	62.00	54.55	55.00	6164.00
chr1	21573713	21573856	143	143	9.00	19.00	15.18	15.00	2171.00
chr11	65320330	65320453	123	123	42.00	74.00	57.23	57.00	7039.00
chr3	47462420	47462519	99	99	70.00	91.00	82.95	86.00	8212.00
chr2	219204751	219204864	113	113	28.00	36.00	31.88	32.00	3603.00
chr1	43906123	43906257	134	134	4.00	15.00	8.95	9.00	1199.00
chr7	38785158	38785840	682	682	2.00	68.00	12.82	8.00	8740.00
chr2	153499932	153500058	126	126	7.00	22.00	16.19	17.00	2040.00
chr1	32203011	32203132	121	121	4.00	373.00	258.51	284.00	31280.00
chr22	42290823	42290941	118	118	198.00	275.00	243.80	242.00	28768.00
chr19	47940718	47940818	100	100	106.00	143.00	118.99	118.00	11899.00
chr4	119539150	119539274	124	124	0.00	0.00	0.00	0.00	0.00
chr17	44117067	44117250	183	183	23.00	36.00	28.77	29.00	5265.00
chr19	42485873	42485983	110	110	890.00	1163.00	1027.65	1033.00	113042.00
chr6	44114583	44114664	81	81	52.00	74.00	63.42	63.00	5137.00
chr19	47941105	47941292	187	187	7.00	126.00	77.19	107.00	14435.00
chr11	73074250	73074500	250	250	95.00	132.00	109.83	108.00	27458.00
chr3	33418764	33418825	61	61	43.00	58.00	48.25	47.00	2943.00
chr1	700258	700505	247	247	3.00	13.00	7.08	6.00	1749.00
chr9	74319510	74319719	209	209	18.00	36.00	26.95	27.00	5632.00
chr16	2336694	2336968	274	274	59.00	129.00	104.34	113.00	28589.00
chr20	3575125	3575219	94	94	14.00	29.00	21.21	21.00	1994.00
chr9	139231377	139231529	152	152	4.00	22.00	12.91	13.00	1963.00
chr5	140515951	140516498	547	547	0.00	12.00	4.44	3.00	2430.00
chr1	21938208	21938309	101	101	160.00	185.00	173.85	175.00	17559.00
chr3	155659188	155659936	748	748	1.00	24.00	13.03	14.00	9750.00
chr16	27483068	27483241	173	173	29.00	64.00	48.29	49.00	8354.00
chr11	994071	994245	174	174	71.00	165.00	127.94	132.00	22262.00
chr7	71175745	71175913	168	168	288.00	387.00	334.74	337.50	56237.00
chr12	121204065	121204175	110	110	70.00	97.00	85.54	87.00	9409.00
chr7	73118679	73118753	74	74	270.00	347.00	305.93	305.50	22639.00
chr9	140972565	140972710	145	145	10.00	16.00	12.89	13.00	1869.00
chr12	121683329	121684024	695	695	0.00	7.00	2.43	3.00	1690.00
chr16	74493579	74493687	108	108	64.00	99.00	82.44	80.50	8904.00
chr2	36771518	36771641	123	123	17.00	29.00	22.27	22.00	2739.00
chr7	94187181	94187996	815	815	1.00	17.00	9.24	9.00	7532.00
chr14	94156951	94157239	288	288	1.00	5.00	3.15	3.00	908.00
chr7	121739000	121739524	524	524	0.00	4.00	1.64	1.00	857.00
chr1	19549117	19549328	211	211	20.00	38.00	28.08	28.00	5925.00
chr19	5214571	5214747	176	176	115.00	203.00	139.33	135.00	24522.00
chr19	42557753	42557861	108	108	183.00	280.00	226.40	226.00	24451.00
chr15	102510686	102510925	239	239	0.00	25.00	15.38	14.00	3676.00
chr5	167673761	167675376	1615	1615	2.00	33.00	12.02	11.00	19407.00
chr7	44282158	44282253	95	95	682.00	861.00	781.99	780.00	74289.00
chr2	160621061	160621717	656	656	0.00	51.00	6.58	3.00	4315.00
chr5	10426501	10426634	133	133	65.00	88.00	78.66	79.00	10462.00
chr16	1814301	1814460	159	159	222.00	294.00	253.40	251.00	40291.00
chr11	21581734	21581928	194	194	11.00	24.00	16.22	16.00	3147.00
chr3	126749085	126749255	170	170	63.00	118.00	86.94	84.00	14780.00
chr11	12237765	12237866	101	101	63.00	83.00	71.97	71.00	7269.00
chr6	31750872	31750963	91	91	42.00	58.00	48.99	50.00	4458.00
chr3	53124201	53124398	197	197	5.00	14.00	9.53	9.00	1878.00
chr2	220161470	220161544	74	74	457.00	581.00	521.36	533.50	38581.00
chr2	128951046	128951785	739	739	2.00	26.00	12.71	12.00	9396.00
chr5	24535811	24535931	120	120	7.00	15.00	10.12	10.00	1214.00
chr1	44083406	44083582	176	176	39.00	71.00	56.46	58.00	9937.00
chr1	32207653	32207818	165	165	93.00	135.00	112.80	116.00	18612.00
chr12	7293754	7294000	246	246	4.00	215.00	126.19	177.00	31042.00
chr3	131442289	131442469	180	180	90.00	168.00	127.12	116.50	22882.00
chr3	49898871	49899298	427	427	13.00	291.00	129.19	166.00	55163.00
chr16	66432358	66432464	106	106	5.00	18.00	11.46	12.00	1215.00
chr1	20982593	20982680	87	87	96.00	163.00	118.90	110.00	10344.00
chr16	68398653	68398809	156	156	68.00	92.00	80.39	81.00	12541.00
chr17	16676818	16678279	1461	1461	0.00	10.00	5.07	5.00	7400.00
chr1	109814899	109815027	128	128	337.00	459.00	389.52	384.50	49858.00
chr1	21940478	21940582	104	104	198.00	231.00	213.91	214.00	22247.00
chr20	57468284	57468793	509	509	0.00	19.00	5.90	3.00	3005.00
chr3	127358087	127358366	279	279	83.00	230.00	151.00	147.00	42129.00
chr3	126735359	126735527	168	168	18.00	44.00	29.89	30.00	5021.00
chr10	103869140	103869264	124	124	97.00	152.00	123.73	122.00	15342.00
chr20	44520554	44520666	112	112	54.00	73.00	63.96	65.00	7164.00
chr1	32203252	32203356	104	104	197.00	269.00	232.24	234.00	24153.00
chr21	40186196	40186316	120	120	24.00	33.00	28.28	28.00	3394.00
chr5	111067153	111068349	1196	1196	1.00	13.00	5.19	5.00	6208.00
chr9	128002954	128003186	232	232	121.00	213.00	164.39	163.00	38138.00
chr1	43408896	43408992	96	96	107.00	146.00	124.47	124.50	11949.00
chr3	47463931	47464026	95	95	60.00	83.00	73.53	74.00	6985.00
chr2	220161160	220161238	78	78	460.00	570.00	512.18	500.00	39950.00
chr11	62472772	62473089	317	317	435.00	829.00	610.48	635.00	193523.00
chr9	130986341	130986906	565	565	0.00	337.00	50.09	4.00	28302.00
chr14	69358769	69359000	231	231	29.00	59.00	45.55	46.00	10522.00
chr11	64416205	64416379	174	174	81.00	132.00	109.44	109.50	19042.00
chr17	8398454	8398559	105	105	42.00	57.00	49.36	48.00	5183.00
chr12	53572943	53574193	1250	1250	1.00	20.00	7.72	8.00	9652.00
chr17	17696544	17701827	5283	5283	0.00	81.00	19.48	16.00	102893.00
chr8	11705187	11705331	144	144	373.00	552.00	455.26	461.50	65558.00
chr19	54963829	54963931	102	102	106.00	137.00	118.97	118.50	12135.00
chr2	70451682	70456295	4613	4613	0.00	50.00	5.88	4.00	27147.00
chr11	118873959	118874169	210	210	2.00	8.00	5.26	6.00	1105.00
chr10	75548427	75548581	154	154	9.00	25.00	16.45	17.00	2534.00
chr6	33414351	33414563	212	212	127.00	306.00	259.38	266.00	54988.00
chr17	80042910	80043032	122	122	72.00	104.00	89.10	90.00	10870.00
chr11	11470290	11470483	193	193	63.00	86.00	71.88	71.00	13872.00
chr8	23294446	23294771	325	325	21.00	44.00	31.30	30.00	10171.00
chr1	116932060	116932663	603	603	1.00	599.00	196.56	14.00	118526.00
chr15	83222627	83222741	114	114	79.00	101.00	90.89	91.00	10362.00
chr3	9841562	9841751	189	189	10.00	21.00	15.85	17.00	2996.00
chr1	116937731	116937907	176	176	588.00	1010.00	694.08	657.00	122158.00
chr16	87868019	87868197	178	178	54.00	86.00	66.60	65.00	11855.00
chr3	124209540	124209731	191	191	81.00	132.00	103.57	105.00	19782.00
chr7	71142195	71142291	96	96	247.00	323.00	280.26	275.00	26905.00
chr5	130497324	130497584	260	260	0.00	8.00	4.38	4.00	1139.00
chr13	100199238	100199358	120	120	96.00	121.00	106.84	106.00	12821.00
chr5	139943336	139943506	170	170	5.00	77.00	54.55	58.00	9273.00
chr17	74395529	74396002	473	473	16.00	44.00	32.16	32.00	15210.00
chr14	93179149	93179216	67	67	59.00	85.00	69.33	70.00	4645.00
chr4	160277004	160277310	306	306	30.00	128.00	68.51	64.00	20963.00
chr17	40666306	40666478	172	172	306.00	457.00	377.20	378.00	64879.00
chr15	34828065	34828207	142	142	4.00	128.00	90.12	99.00	12797.00
chr14	100165802	100165876	74	74	81.00	97.00	89.78	89.00	6644.00
chr22	20128089	20128231	142	142	6.00	59.00	35.25	48.00	5005.00
chr12	3392210	3394421	2211	2211	1.00	18.00	7.73	8.00	17091.00
chr17	16687866	16690667	2801	2801	0.00	71.00	9.48	7.00	26540.00
chr6	31664724	31664810	86	86	57.00	71.00	63.16	63.00	5432.00
chr6	30627512	30627611	99	99	15.00	29.00	20.62	19.00	2041.00
chr11	18752834	18755060	2226	2226	1.00	159.00	24.92	11.00	55462.00
chr12	109332602	109332731	129	129	65.00	134.00	98.77	96.00	12741.00
chr6	90072884	90073110	226	226	2.00	12.00	6.65	7.00	1504.00
chr16	2689371	2689711	340	340	2.00	11.00	6.81	7.00	2314.00
chr1	20987373	20987484	111	111	74.00	104.00	88.44	88.00	9817.00
chr14	85985300	85986667	1367	1367	0.00	3.00	0.80	1.00	1099.00
chr13	32863769	32863880	111	111	18.00	58.00	37.07	39.00	4115.00
chr16	1510418	1510528	110	110	28.00	53.00	42.91	45.00	4720.00
chr19	54963269	54963444	175	175	115.00	150.00	131.35	131.00	22986.00
chr6	44224078	44224233	155	155	15.00	32.00	24.01	24.00	3721.00
chr20	3151172	3152285	1113	1113	1.00	12.00	5.09	5.00	5669.00
chr1	892273	892405	132	132	48.00	90.00	63.04	60.00	8321.00
chr16	90192167	90192724	557	557	0.00	21.00	7.36	6.00	4100.00
chr9	111663704	111663810	106	106	16.00	27.00	23.01	24.00	2439.00
chr6	44108764	44108835	71	71	49.00	77.00	60.20	58.00	4274.00
chr1	36028802	36029027	225	225	948.00	1839.00	1438.58	1494.00	323681.00
chr11	66807259	66807674	415	415	3.00	22.00	11.70	12.00	4855.00
chr1	178426817	178427679	862	862	2.00	20.00	9.88	10.00	8517.00
chr19	42482302	42482478	176	176	1220.00	1872.00	1470.17	1424.50	258750.00
chr1	44084718	44084873	155	155	39.00	87.00	66.02	67.00	10233.00
chr1	109812315	109812442	127	127	231.00	280.00	251.26	251.00	31910.00
chr3	180324268	180324391	123	123	12.00	35.00	25.59	25.00	3147.00
chr15	63933668	63933842	174	174	27.00	49.00	38.03	38.00	6617.00
chr20	44521363	44521519	156	156	66.00	133.00	91.83	89.00	14326.00
chr3	33416779	33416910	131	131	18.00	48.00	32.95	29.00	4317.00
chr1	21934624	21934843	219	219	2.00	225.00	126.77	190.00	27762.00
chr14	69799801	69799886	85	85	54.00	80.00	66.45	67.00	5648.00
chr1	116936134	116936345	211	211	1.00	633.00	526.62	572.00	111116.00
chr14	23634493	23634645	152	152	11.00	20.00	15.26	15.00	2319.00
chr16	1402538	1402947	409	409	1.00	5.00	2.95	3.00	1206.00
chr9	20331	25000	4669	4669	0.00	121.00	17.61	16.00	82216.00
chr17	43545574	43545959	385	385	5.00	15.00	9.13	10.00	3516.00
chr13	100201418	100201476	58	58	83.00	114.00	95.03	94.00	5512.00
chr15	41865505	41865665	160	160	36.00	82.00	51.99	48.00	8318.00
chr19	19641688	19642196	508	508	6.00	25.00	16.64	17.00	8451.00
chr11	134147593	134148159	566	566	0.00	7.00	3.36	3.00	1900.00
chr2	71656420	71657290	870	870	1.00	23.00	12.09	11.00	10519.00
chr7	97834775	97835016	241	241	18.00	35.00	23.99	23.00	5782.00
chr19	13363804	13363915	111	111	42.00	57.00	50.58	52.00	5614.00
chr18	31328383	31329011	628	628	0.00	5.00	2.00	2.00	1256.00
chr16	66431884	66432009	125	125	9.00	14.00	11.06	11.00	1383.00
chr19	47935155	47935702	547	547	2.00	236.00	101.55	116.00	55547.00
chr12	50291769	50291873	104	104	459.00	550.00	497.49	496.00	51739.00
chr11	1780198	1780317	119	119	457.00	701.00	548.67	523.00	65292.00
chr15	65392626	65393167	541	541	2.00	13.00	7.22	8.00	3905.00
chr2	86397871	86397967	96	96	46.00	63.00	54.95	55.00	5275.00
chr7	97866087	97866233	146	146	29.00	40.00	33.74	33.00	4926.00
chr11	60687157	60687402	245	245	20.00	51.00	37.55	38.00	9200.00
chr21	43307700	43309453	1753	1753	1.00	20.00	8.80	8.00	15428.00
chr14	24619269	24619657	388	388	12.00	27.00	18.43	18.00	7150.00
chr11	65320634	65320727	93	93	39.00	51.00	43.24	43.00	4021.00
chr16	29891184	29891385	201	201	188.00	268.00	230.83	237.00	46396.00
chr1	32207224	32207326	102	102	178.00	216.00	195.74	195.00	19965.00
chr11	72300218	72300394	176	176	0.00	134.00	44.68	0.00	7863.00
chr17	7608878	7609038	160	160	6.00	26.00	14.94	13.00	2390.00
chr19	7607646	7607814	168	168	31.00	68.00	52.67	53.00	8849.00
chr19	54966129	54966271	142	142	111.00	154.00	132.70	133.00	18844.00
chr12	57995027	57995131	104	104	28.00	41.00	34.62	35.00	3600.00
chr1	27428875	27429049	174	174	27.00	51.00	35.72	35.00	6216.00
chr2	27688277	27688385	108	108	17.00	25.00	20.84	21.00	2251.00
chr16	2691449	2692254	805	805	4.00	17.00	9.74	9.00	7843.00
chr9	131503813	131503933	120	120	148.00	197.00	173.86	174.00	20863.00
chr16	2347766	2347922	156	156	49.00	73.00	58.28	57.00	9091.00
chr17	80039884	80040036	152	152	201.00	279.00	233.93	233.00	35557.00
chr1	32204432	32204538	106	106	204.00	331.00	274.69	284.50	29117.00
chr12	9242951	9243078	127	127	194.00	229.00	206.80	207.00	26264.00
chr3	49702661	49702751	90	90	53.00	75.00	63.58	63.00	5722.00
chr19	35820359	35820837	478	478	2.00	16.00	8.40	8.00	4017.00
chr1	201456762	201457615	853	853	1.00	19.00	9.13	9.00	7784.00
chr16	2334279	2334438	159	159	116.00	165.00	137.04	137.00	21789.00
chr10	73578373	73578481	108	108	1386.00	1888.00	1651.83	1686.00	178398.00
chr16	18530550	18530756	206	206	10.00	143.00	73.41	93.00	15122.00
chr16	16369094	16369300	206	206	10.00	144.00	73.78	94.00	15198.00
chr13	113975636	113975785	149	149	11.00	305.00	135.44	18.00	20180.00
chr11	119293822	119294227	405	405	0.00	1281.00	114.33	4.00	46302.00
chr5	150505962	150506041	79	79	350.00	440.00	405.05	418.00	31999.00
chr22	44224939	44225078	139	139	256.00	335.00	300.70	300.00	41797.00
chr15	41865199	41865309	110	110	44.00	65.00	51.15	50.00	5626.00
chr17	25633807	25636298	2491	2491	0.00	351.00	78.98	50.00	196737.00
chr15	72495155	72495529	374	374	7.00	1707.00	647.12	12.00	242023.00
chr9	42540272	42542124	1852	1852	0.00	15.00	4.06	3.00	7523.00
chr11	119290760	119291704	944	944	4.00	2461.00	859.49	14.00	811355.00
chr19	5219949	5220165	216	216	78.00	141.00	108.11	106.00	23352.00
chr15	63910769	63911153	384	384	0.00	8.00	4.32	4.00	1659.00
chr17	74393879	74393969	90	90	28.00	51.00	41.21	42.50	3709.00
chr10	104129467	104129532	65	65	18.00	26.00	22.40	22.00	1456.00
chr3	142454224	142454620	396	396	0.00	3.00	1.13	1.00	446.00
chr12	121205196	121205396	200	200	65.00	98.00	81.48	80.00	16297.00
chr3	31705570	31705724	154	154	3.00	8.00	4.44	4.00	684.00
chr6	118635190	118636593	1403	1403	1.00	22.00	10.53	10.00	14780.00
chr8	10339867	10340829	962	962	1.00	17.00	9.01	9.00	8668.00
chr19	16952578	16952779	201	201	45.00	68.00	55.23	55.00	11101.00
chr8	110984486	110985016	530	530	8.00	28.00	16.73	16.00	8865.00
chr9	128001219	128001610	391	391	157.00	338.00	245.83	246.00	96119.00
chr11	73070878	73070997	119	119	65.00	80.00	72.33	73.00	8607.00
chr10	104130140	104130235	95	95	30.00	42.00	35.94	36.00	3414.00
chr5	95733039	95733173	134	134	3.00	10.00	5.73	5.00	768.00
chr19	59059400	59059547	147	147	104.00	149.00	125.26	126.00	18413.00
chr5	139943169	139943255	86	86	8.00	77.00	60.55	66.00	5207.00
chr17	73487771	73487981	210	210	29.00	49.00	40.09	40.00	8418.00
chr1	154315588	154315777	189	189	8.00	22.00	14.98	16.00	2831.00
chr14	95652726	95653070	344	344	2.00	14.00	7.99	8.00	2747.00
chr12	123639801	123640772	971	971	1.00	23.00	9.33	8.00	9057.00
chr22	47064870	47065171	301	301	0.00	5.00	2.11	2.00	636.00
chr5	24535220	24535388	168	168	6.00	18.00	13.14	13.00	2208.00
chr12	6806452	6806958	506	506	76.00	200.00	143.11	155.00	72415.00
chr22	29881711	29881836	125	125	96.00	124.00	107.97	106.00	13496.00
chr7	75894681	75894786	105	105	21.00	29.00	25.41	25.00	2668.00
chr12	121089007	121095893	6886	6886	0.00	28.00	6.90	6.00	47529.00
chr1	207940357	207942365	2008	2008	0.00	48.00	11.65	10.00	23388.00
chr7	154681166	154681240	74	74	176.00	223.00	202.64	208.50	14995.00
chr5	131696513	131697529	1016	1016	0.00	10.00	3.40	3.00	3459.00
chr11	1776135	1776258	123	123	345.00	636.00	494.93	462.00	60876.00
chr8	11706554	11706673	119	119	226.00	318.00	266.98	256.00	31771.00
chr11	18759426	18759511	85	85	77.00	107.00	89.40	86.00	7599.00
chr16	61689373	61689625	252	252	10.00	23.00	17.15	17.00	4321.00
chr15	51750702	51750824	122	122	57.00	107.00	77.31	78.00	9432.00
chr9	35555056	35555698	642	642	72.00	169.00	114.48	116.00	73496.00
chr2	198356200	198356621	421	421	1.00	6.00	2.63	2.00	1109.00
chr9	131001723	131001794	71	71	1187.00	1640.00	1407.25	1387.00	99915.00
chr19	5214371	5214491	120	120	170.00	268.00	228.76	229.50	27451.00
chr22	35719488	35719623	135	135	56.00	83.00	68.26	69.00	9215.00
chr12	121678738	121679829	1091	1091	1.00	10.00	3.66	3.00	3991.00
chr14	23820960	23821064	104	104	546.00	688.00	613.98	606.00	63854.00
chr1	32205710	32205779	69	69	194.00	257.00	226.38	228.00	15620.00
chr3	33420176	33420326	150	150	1.00	65.00	22.61	2.00	3392.00
chr9	114820707	114820966	259	259	1.00	7.00	3.75	4.00	970.00
chr15	41865876	41866023	147	147	2.00	108.00	86.09	91.00	12655.00
chr19	55554308	55554637	329	329	1.00	6.00	3.22	3.00	1060.00
