#chrom	start	end	size	num_data	min	max	mean	median	sum
chr12	121204065	121204175	110	110	40.00	67.00	56.29	58.00	6192.00
chr7	73118679	73118753	74	74	7.00	16.00	11.53	11.00	853.00
chr9	140972565	140972710	145	145	0.00	1.00	0.59	1.00	85.00
chr12	121683329	121684024	695	695	4.00	40.00	21.26	20.00	14774.00
chr16	74493579	74493687	108	108	67.00	104.00	84.03	82.00	9075.00
chr2	36771518	36771641	123	123	0.00	1.00	0.01	0.00	1.00
chr7	94187181	94187996	815	815	0.00	2.00	0.79	0.00	645.00
chr14	94156951	94157239	288	288	0.00	0.00	0.00	0.00	0.00
chr7	121739000	121739524	524	524	0.00	2.00	0.39	0.00	202.00
chr1	19549117	19549328	211	211	16.00	28.00	22.09	22.00	4662.00
chr19	5214571	5214747	176	176	1.00	4.00	2.33	2.00	410.00
chr19	42557753	42557861	108	108	0.00	2.00	0.87	1.00	94.00
chr15	102510686	102510925	239	239	7.00	50.00	33.83	37.00	8085.00
chr5	167673761	167675376	1615	1615	0.00	0.00	0.00	0.00	0.00
chr7	44282158	44282253	95	95	0.00	2.00	0.88	1.00	84.00
chr2	160621061	160621717	656	656	0.00	24.00	5.49	4.00	3601.00
chr5	10426501	10426634	133	133	73.00	93.00	82.14	81.00	10924.00
chr16	1814301	1814460	159	159	81.00	100.00	88.63	88.00	14092.00
chr11	21581734	21581928	194	194	0.00	0.00	0.00	0.00	0.00
chr3	126749085	126749255	170	170	0.00	4.00	2.47	2.00	420.00
chr11	12237765	12237866	101	101	29.00	53.00	40.33	42.00	4073.00
chr6	31750872	31750963	91	91	61.00	83.00	72.10	72.00	6561.00
chr3	53124201	53124398	197	197	0.00	2.00	0.72	1.00	142.00
chr2	220161470	220161544	74	74	0.00	0.00	0.00	0.00	0.00
chr2	128951046	128951785	739	739	2.00	28.00	15.22	16.00	11246.00
chr5	24535811	24535931	120	120	0.00	0.00	0.00	0.00	0.00
chr1	44083406	44083582	176	176	1.00	2.00	1.21	1.00	213.00
chr1	32207653	32207818	165	165	0.00	2.00	1.15	1.00	190.00
chr12	7293754	7294000	246	246	1.00	82.00	49.21	69.00	12106.00
chr3	131442289	131442469	180	180	0.00	0.00	0.00	0.00	0.00
chr3	49898871	49899298	427	427	0.00	0.00	0.00	0.00	0.00
chr16	66432358	66432464	106	106	0.00	0.00	0.00	0.00	0.00
chr1	20982593	20982680	87	87	171.00	230.00	194.78	187.00	16946.00
chr16	68398653	68398809	156	156	3.00	12.00	9.08	9.00	1417.00
chr17	16676818	16678279	1461	1461	0.00	4.00	0.48	0.00	707.00
chr1	109814899	109815027	128	128	0.00	3.00	1.35	0.00	173.00
chr1	21940478	21940582	104	104	2.00	6.00	3.05	3.00	317.00
chr20	57468284	57468793	509	509	0.00	12.00	3.99	3.00	2033.00
chr3	127358087	127358366	279	279	0.00	2.00	0.80	1.00	223.00
chr3	126735359	126735527	168	168	0.00	1.00	0.85	1.00	142.00
chr10	103869140	103869264	124	124	111.00	177.00	141.09	141.50	17495.00
chr20	44520554	44520666	112	112	189.00	234.00	207.92	207.50	23287.00
chr1	32203252	32203356	104	104	0.00	5.00	2.24	2.00	233.00
chr21	40186196	40186316	120	120	77.00	93.00	86.63	87.00	10396.00
chr5	111067153	111068349	1196	1196	0.00	4.00	0.34	0.00	404.00
chr9	128002954	128003186	232	232	400.00	631.00	511.45	498.50	118657.00
chr1	43408896	43408992	96	96	44.00	65.00	57.84	60.00	5553.00
chr3	47463931	47464026	95	95	37.00	55.00	44.67	44.00	4244.00
chr2	220161160	220161238	78	78	0.00	0.00	0.00	0.00	0.00
chr11	62472772	62473089	317	317	20.00	50.00	34.82	32.00	11037.00
chr9	130986341	130986906	565	565	0.00	1.00	0.14	0.00	80.00
chr14	69358769	69359000	231	231	332.00	417.00	363.33	359.00	83929.00
chr11	64416205	64416379	174	174	0.00	0.00	0.00	0.00	0.00
chr17	8398454	8398559	105	105	2.00	7.00	3.97	3.00	417.00
chr12	53572943	53574193	1250	1250	4.00	18.00	12.00	12.00	14998.00
chr17	17696544	17701827	5283	5283	0.00	18.00	4.95	4.00	26150.00
chr8	11705187	11705331	144	144	424.00	547.00	502.65	512.50	72381.00
chr19	54963829	54963931	102	102	141.00	194.00	165.54	161.00	16885.00
chr2	70451682	70456295	4613	4613	0.00	45.00	5.10	3.00	23539.00
chr11	118873959	118874169	210	210	4.00	14.00	8.10	7.00	1700.00
chr10	75548427	75548581	154	154	27.00	38.00	32.25	33.00	4967.00
chr6	33414351	33414563	212	212	23.00	42.00	33.96	34.00	7200.00
chr17	80042910	80043032	122	122	15.00	24.00	20.22	21.00	2467.00
chr11	11470290	11470483	193	193	0.00	0.00	0.00	0.00	0.00
chr8	23294446	23294771	325	325	40.00	61.00	49.41	49.00	16057.00
chr1	116932060	116932663	603	603	2.00	201.00	79.31	15.00	47826.00
chr15	83222627	83222741	114	114	0.00	0.00	0.00	0.00	0.00
chr3	9841562	9841751	189	189	13.00	33.00	24.31	24.00	4594.00
chr1	116937731	116937907	176	176	177.00	271.00	210.72	209.00	37086.00
chr16	87868019	87868197	178	178	56.00	75.00	67.21	68.00	11963.00
chr3	124209540	124209731	191	191	0.00	0.00	0.00	0.00	0.00
chr7	71142195	71142291	96	96	0.00	1.00	0.24	0.00	23.00
chr5	130497324	130497584	260	260	4.00	20.00	11.11	11.50	2889.00
chr13	100199238	100199358	120	120	33.00	51.00	40.42	39.00	4851.00
chr5	139943336	139943506	170	170	7.00	44.00	31.75	33.00	5397.00
chr17	74395529	74396002	473	473	12.00	22.00	16.92	17.00	8002.00
chr14	93179149	93179216	67	67	8.00	10.00	8.48	8.00	568.00
chr4	160277004	160277310	306	306	2.00	26.00	16.81	20.00	5145.00
chr17	40666306	40666478	172	172	23.00	35.00	29.16	29.00	5016.00
chr15	34828065	34828207	142	142	2.00	41.00	30.90	35.00	4388.00
chr14	100165802	100165876	74	74	0.00	0.00	0.00	0.00	0.00
chr22	20128089	20128231	142	142	6.00	24.00	14.95	17.00	2123.00
chr12	3392210	3394421	2211	2211	0.00	14.00	3.70	3.00	8177.00
chr17	16687866	16690667	2801	2801	0.00	18.00	2.35	1.00	6581.00
chr6	31664724	31664810	86	86	68.00	93.00	78.03	78.00	6711.00
chr6	30627512	30627611	99	99	41.00	55.00	49.34	50.00	4885.00
chr11	18752834	18755060	2226	2226	0.00	0.00	0.00	0.00	0.00
chr12	109332602	109332731	129	129	0.00	0.00	0.00	0.00	0.00
chr6	90072884	90073110	226	226	0.00	0.00	0.00	0.00	0.00
chr16	2689371	2689711	340	340	0.00	6.00	2.50	3.00	850.00
chr1	20987373	20987484	111	111	169.00	197.00	181.87	181.00	20188.00
chr14	85985300	85986667	1367	1367	0.00	0.00	0.00	0.00	0.00
chr13	32863769	32863880	111	111	0.00	8.00	3.75	4.00	416.00
chr16	1510418	1510528	110	110	37.00	54.00	47.65	48.50	5241.00
chr19	54963269	54963444	175	175	139.00	193.00	157.49	151.00	27561.00
chr6	44224078	44224233	155	155	9.00	21.00	14.99	15.00	2324.00
chr20	3151172	3152285	1113	1113	0.00	2.00	0.36	0.00	404.00
chr1	892273	892405	132	132	35.00	51.00	41.80	41.00	5518.00
chr16	90192167	90192724	557	557	1.00	11.00	3.63	3.00	2023.00
chr9	111663704	111663810	106	106	9.00	16.00	11.35	11.00	1203.00
chr6	44108764	44108835	71	71	49.00	66.00	54.79	54.00	3890.00
chr1	36028802	36029027	225	225	8.00	20.00	14.62	15.00	3289.00
chr11	66807259	66807674	415	415	0.00	0.00	0.00	0.00	0.00
chr1	178426817	178427679	862	862	0.00	0.00	0.00	0.00	0.00
chr19	42482302	42482478	176	176	13.00	21.00	17.19	17.00	3026.00
chr1	44084718	44084873	155	155	0.00	1.00	0.36	0.00	56.00
chr1	109812315	109812442	127	127	3.00	5.00	3.40	3.00	432.00
chr3	180324268	180324391	123	123	9.00	14.00	12.30	12.00	1513.00
chr15	63933668	63933842	174	174	15.00	26.00	19.98	19.00	3476.00
chr20	44521363	44521519	156	156	287.00	359.00	315.87	313.00	49276.00
chr3	33416779	33416910	131	131	0.00	0.00	0.00	0.00	0.00
chr1	21934624	21934843	219	219	0.00	7.00	3.74	5.00	820.00
chr14	69799801	69799886	85	85	0.00	0.00	0.00	0.00	0.00
chr1	116936134	116936345	211	211	1.00	208.00	171.08	187.00	36098.00
chr14	23634493	23634645	152	152	0.00	1.00	0.26	0.00	39.00
chr16	1402538	1402947	409	409	3.00	12.00	8.08	8.00	3305.00
chr9	20331	25000	4669	4669	0.00	84.00	20.08	17.00	93752.00
chr17	43545574	43545959	385	385	27.00	51.00	37.03	37.00	14255.00
chr13	100201418	100201476	58	58	32.00	49.00	40.03	40.00	2322.00
chr15	41865505	41865665	160	160	0.00	1.00	0.66	1.00	106.00
chr19	19641688	19642196	508	508	0.00	9.00	3.65	3.00	1854.00
chr11	134147593	134148159	566	566	0.00	2.00	0.23	0.00	130.00
chr2	71656420	71657290	870	870	0.00	4.00	1.55	1.00	1352.00
chr7	97834775	97835016	241	241	5.00	20.00	13.04	15.00	3142.00
chr19	13363804	13363915	111	111	0.00	2.00	1.71	2.00	190.00
chr18	31328383	31329011	628	628	0.00	0.00	0.00	0.00	0.00
chr16	66431884	66432009	125	125	0.00	0.00	0.00	0.00	0.00
chr19	47935155	47935702	547	547	0.00	0.00	0.00	0.00	0.00
chr12	50291769	50291873	104	104	0.00	0.00	0.00	0.00	0.00
chr11	1780198	1780317	119	119	1202.00	1861.00	1399.47	1355.00	166537.00
chr15	65392626	65393167	541	541	0.00	7.00	2.54	2.00	1373.00
chr2	86397871	86397967	96	96	15.00	41.00	24.25	20.00	2328.00
chr7	97866087	97866233	146	146	21.00	40.00	29.57	29.50	4317.00
chr11	60687157	60687402	245	245	88.00	155.00	122.63	120.00	30045.00
chr21	43307700	43309453	1753	1753	0.00	7.00	1.84	1.00	3232.00
chr14	24619269	24619657	388	388	16.00	40.00	28.15	28.00	10921.00
chr11	65320634	65320727	93	93	30.00	44.00	36.25	36.00	3371.00
chr16	29891184	29891385	201	201	0.00	0.00	0.00	0.00	0.00
chr1	32207224	32207326	102	102	0.00	2.00	0.78	1.00	80.00
chr11	72300218	72300394	176	176	0.00	0.00	0.00	0.00	0.00
chr17	7608878	7609038	160	160	0.00	0.00	0.00	0.00	0.00
chr19	7607646	7607814	168	168	51.00	83.00	67.51	67.50	11342.00
chr19	54966129	54966271	142	142	127.00	193.00	163.68	166.50	23242.00
chr12	57995027	57995131	104	104	19.00	25.00	22.34	23.00	2323.00
chr1	27428875	27429049	174	174	15.00	30.00	22.98	24.00	3999.00
chr2	27688277	27688385	108	108	2.00	6.00	2.89	2.00	312.00
chr16	2691449	2692254	805	805	0.00	6.00	1.88	2.00	1515.00
chr9	131503813	131503933	120	120	113.00	175.00	150.82	154.00	18099.00
chr16	2347766	2347922	156	156	0.00	2.00	1.16	1.00	181.00
chr17	80039884	80040036	152	152	27.00	40.00	33.05	32.50	5023.00
chr1	32204432	32204538	106	106	1.00	4.00	2.60	3.00	276.00
chr12	9242951	9243078	127	127	3.00	6.00	5.01	5.00	636.00
chr3	49702661	49702751	90	90	0.00	0.00	0.00	0.00	0.00
chr19	35820359	35820837	478	478	1.00	8.00	3.64	3.00	1740.00
chr1	201456762	201457615	853	853	0.00	4.00	1.07	1.00	909.00
chr16	2334279	2334438	159	159	1.00	6.00	4.06	4.00	646.00
chr10	73578373	73578481	108	108	2481.00	3320.00	2861.06	2840.00	308994.00
chr16	18530550	18530756	206	206	17.00	77.00	47.83	55.00	9852.00
chr16	16369094	16369300	206	206	17.00	77.00	47.83	55.00	9852.00
chr13	113975636	113975785	149	149	22.00	415.00	186.84	27.00	27839.00
chr11	119293822	119294227	405	405	0.00	0.00	0.00	0.00	0.00
chr5	150505962	150506041	79	79	561.00	648.00	601.53	597.00	47521.00
chr22	44224939	44225078	139	139	0.00	0.00	0.00	0.00	0.00
chr15	41865199	41865309	110	110	0.00	1.00	0.87	1.00	96.00
chr17	25633807	25636298	2491	2491	2.00	144.00	41.23	34.00	102712.00
chr15	72495155	72495529	374	374	115.00	293.00	176.88	160.50	66153.00
chr9	42540272	42542124	1852	1852	0.00	0.00	0.00	0.00	0.00
chr11	119290760	119291704	944	944	0.00	2.00	0.19	0.00	175.00
chr19	5219949	5220165	216	216	0.00	6.00	2.97	3.00	641.00
chr15	63910769	63911153	384	384	0.00	2.00	0.53	0.00	202.00
chr17	74393879	74393969	90	90	14.00	29.00	19.64	18.00	1768.00
chr10	104129467	104129532	65	65	22.00	36.00	27.11	26.00	1762.00
chr3	142454224	142454620	396	396	0.00	0.00	0.00	0.00	0.00
chr12	121205196	121205396	200	200	36.00	58.00	47.70	48.00	9539.00
chr3	31705570	31705724	154	154	2.00	7.00	4.60	5.00	709.00
chr6	118635190	118636593	1403	1403	0.00	1.00	0.01	0.00	16.00
chr8	10339867	10340829	962	962	0.00	1.00	0.21	0.00	202.00
chr19	16952578	16952779	201	201	17.00	34.00	26.86	26.00	5398.00
chr8	110984486	110985016	530	530	0.00	0.00	0.00	0.00	0.00
chr9	128001219	128001610	391	391	538.00	843.00	699.66	704.00	273569.00
chr11	73070878	73070997	119	119	0.00	2.00	1.40	1.00	167.00
chr10	104130140	104130235	95	95	36.00	44.00	39.59	39.00	3761.00
chr5	95733039	95733173	134	134	0.00	0.00	0.00	0.00	0.00
chr19	59059400	59059547	147	147	268.00	329.00	291.34	286.00	42827.00
chr5	139943169	139943255	86	86	13.00	41.00	31.45	32.00	2705.00
chr17	73487771	73487981	210	210	16.00	31.00	24.10	25.00	5061.00
chr1	154315588	154315777	189	189	13.00	27.00	19.84	20.00	3749.00
chr14	95652726	95653070	344	344	0.00	2.00	0.24	0.00	83.00
chr12	123639801	123640772	971	971	0.00	8.00	2.65	2.00	2576.00
chr22	47064870	47065171	301	301	0.00	13.00	6.65	7.00	2003.00
chr5	24535220	24535388	168	168	0.00	0.00	0.00	0.00	0.00
chr12	6806452	6806958	506	506	0.00	2.00	0.52	0.00	262.00
chr22	29881711	29881836	125	125	3.00	7.00	5.79	6.00	724.00
chr7	75894681	75894786	105	105	0.00	1.00	0.02	0.00	2.00
chr12	121089007	121095893	6886	6886	0.00	2.00	0.06	0.00	404.00
chr1	207940357	207942365	2008	2008	0.00	55.00	11.15	8.00	22394.00
chr7	154681166	154681240	74	74	1.00	4.00	2.69	3.00	199.00
chr5	131696513	131697529	1016	1016	0.00	1.00	0.19	0.00	188.00
chr11	1776135	1776258	123	123	604.00	1526.00	1020.41	973.00	125511.00
chr8	11706554	11706673	119	119	318.00	397.00	367.94	373.00	43785.00
chr11	18759426	18759511	85	85	0.00	0.00	0.00	0.00	0.00
chr16	61689373	61689625	252	252	0.00	0.00	0.00	0.00	0.00
chr15	51750702	51750824	122	122	6.00	22.00	12.91	11.00	1575.00
chr9	35555056	35555698	642	642	0.00	8.00	4.00	4.00	2569.00
chr2	198356200	198356621	421	421	11.00	70.00	36.05	36.00	15177.00
chr9	131001723	131001794	71	71	0.00	3.00	1.51	1.00	107.00
chr19	5214371	5214491	120	120	2.00	6.00	3.22	3.00	386.00
chr22	35719488	35719623	135	135	163.00	219.00	203.69	209.00	27498.00
chr12	121678738	121679829	1091	1091	8.00	28.00	16.52	17.00	18020.00
chr14	23820960	23821064	104	104	1.00	3.00	1.66	2.00	173.00
chr1	32205710	32205779	69	69	3.00	7.00	5.22	5.00	360.00
chr3	33420176	33420326	150	150	0.00	2.00	0.38	0.00	57.00
chr9	114820707	114820966	259	259	15.00	58.00	36.72	36.00	9510.00
chr15	41865876	41866023	147	147	0.00	1.00	0.69	1.00	101.00
chr19	55554308	55554637	329	329	0.00	6.00	2.77	3.00	910.00
chr1	116933403	116933513	110	110	196.00	231.00	215.47	216.00	23702.00
chr19	15374230	15374359	129	129	121.00	168.00	151.98	156.00	19605.00
chr12	56090682	56090852	170	170	1.00	5.00	3.74	4.00	636.00
chr14	69445668	69445876	208	208	51.00	337.00	193.26	196.00	40198.00
chr12	57603474	57603651	177	177	25.00	53.00	37.23	36.00	6589.00
